# Force coefficients
# liftDir       : (-2.75636946e-01 9.61261813e-01 0.00000000e+00)
# dragDir       : (9.61261813e-01 2.75636946e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.50000000e+01
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-02
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	3.32839007e-02	5.21456818e-01	4.16764380e-02	5.41221197e-02	-1.24456816e-02
1               	6.55140804e+00	7.69239755e+00	1.92700341e+01	1.61864251e+01	3.08360899e+00
2               	8.49614777e+00	9.54199246e+00	2.54352448e+01	2.12137702e+01	4.22147465e+00
3               	7.38804471e+00	8.14570244e+00	2.26574738e+01	1.87167816e+01	3.94069220e+00
4               	4.43239246e+00	4.89159310e+00	1.43476778e+01	1.16062314e+01	2.74144646e+00
5               	1.01001910e+00	1.25774263e+00	4.51874395e+00	3.26939108e+00	1.24935287e+00
6               	-1.71973994e+00	-1.59466409e+00	-3.49349481e+00	-3.46648734e+00	-2.70074696e-02
7               	-3.14074484e+00	-3.07519691e+00	-7.90946952e+00	-7.09547960e+00	-8.13989916e-01
8               	-3.19844132e+00	-3.11876902e+00	-8.46389213e+00	-7.43038739e+00	-1.03350474e+00
9               	-2.40415335e+00	-2.30327727e+00	-6.57956841e+00	-5.69393755e+00	-8.85630859e-01
10              	-1.10097527e+00	-1.00525659e+00	-3.17613966e+00	-2.68904510e+00	-4.87094555e-01
11              	1.09638287e-01	1.89963543e-01	1.95426046e-01	2.07351310e-01	-1.19252638e-02
12              	8.90303566e-01	9.68026001e-01	2.55978401e+00	2.17019557e+00	3.89588437e-01
13              	1.15220135e+00	1.23682449e+00	3.56044802e+00	2.93242536e+00	6.28022657e-01
14              	1.05080752e+00	1.16508818e+00	3.55937853e+00	2.83049679e+00	7.28881745e-01
15              	7.12392512e-01	8.66942649e-01	2.87780287e+00	2.15129395e+00	7.26508923e-01
16              	2.68688340e-01	4.62265415e-01	1.81188526e+00	1.17463097e+00	6.37254291e-01
17              	-1.19433299e-01	9.75449469e-02	7.83672651e-01	2.72403027e-01	5.11269624e-01
18              	-3.25420402e-01	-1.12212047e-01	1.23354487e-01	-2.63743158e-01	3.87097645e-01
19              	-3.69768616e-01	-1.71573858e-01	-1.41049795e-01	-4.40293513e-01	2.99243719e-01
20              	-3.07687321e-01	-1.38189189e-01	-1.40243134e-01	-3.77808888e-01	2.37565754e-01
21              	-1.63142812e-01	-3.37768470e-02	7.32315908e-02	-1.26527016e-01	1.99758607e-01
22              	-1.47323001e-02	8.00106611e-02	3.83705716e-01	1.77120558e-01	2.06585158e-01
23              	9.79319876e-02	1.72120855e-01	6.82955639e-01	4.39409807e-01	2.43545832e-01
24              	1.60669979e-01	2.29387546e-01	9.09918553e-01	6.15629256e-01	2.94289297e-01
25              	1.76586687e-01	2.51701889e-01	1.03788381e+00	6.95528591e-01	3.42355217e-01
26              	1.51684397e-01	2.43817554e-01	1.07971894e+00	6.91543868e-01	3.88175074e-01
27              	1.19760113e-01	2.29219837e-01	1.07724070e+00	6.58380462e-01	4.18860236e-01
28              	8.97643882e-02	2.12985682e-01	1.04841531e+00	6.13972046e-01	4.34443269e-01
29              	6.80480925e-02	1.98586180e-01	1.00856775e+00	5.72331966e-01	4.36235781e-01
30              	5.10704273e-02	1.83706729e-01	9.56877932e-01	5.29509393e-01	4.27368539e-01
31              	3.92776405e-02	1.69173368e-01	9.07256384e-01	4.92905832e-01	4.14350551e-01
32              	3.37279657e-02	1.57549872e-01	8.69516441e-01	4.68486186e-01	4.01030255e-01
33              	3.13938961e-02	1.47489832e-01	8.44436434e-01	4.53612113e-01	3.90824321e-01
34              	3.10895684e-02	1.39948203e-01	8.32797890e-01	4.47488513e-01	3.85309377e-01
35              	3.28883664e-02	1.35969499e-01	8.34027909e-01	4.49902321e-01	3.84125588e-01
36              	3.61620269e-02	1.35487225e-01	8.46567075e-01	4.59445564e-01	3.87121511e-01
